# assembly_accession	refseq_category	taxid	organism_name	infraspecific_name	assembly_level	seq_rel_date	ftp_path	strain_name	assembly_level_int	refseq_category_int
GCF_002252895.1	na	1383843	Halorubrum sp. Eb13	Eb13	Scaffold	2017/08/15	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/252/895/GCF_002252895.1_ASM225289v1	Halorubrum sp. Eb13	2	0
GCF_002252755.1	na	1480728	Halorubrum sp. Hd13	Hd13	Scaffold	2017/08/15	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/252/755/GCF_002252755.1_ASM225275v1	Halorubrum sp. Hd13	2	0
GCF_002252745.1	na	1383850	Halorubrum sp. Ib24	Ib24	Contig	2017/08/15	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/252/745/GCF_002252745.1_ASM225274v1	Halorubrum sp. Ib24	1	0
GCF_002135005.1	na	1855863	Halorubrum sp. SD612	SD612	Scaffold	2017/05/12	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/135/005/GCF_002135005.1_ASM213500v1	Halorubrum sp. SD612	2	0
GCF_001261915.1	na	1419722	Halorubrum sp. SD626R	SD626R	Scaffold	2015/07/30	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/261/915/GCF_001261915.1_Halorubrum_SD626R	Halorubrum sp. SD626R	2	0
GCF_002135045.1	na	1855873	Halorubrum sp. SD683	SD683	Scaffold	2017/05/12	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/135/045/GCF_002135045.1_ASM213504v1	Halorubrum sp. SD683	2	0
GCF_000296615.1	na	1194088	Halorubrum sp. T3	T3	Scaffold	2012/09/17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/296/615/GCF_000296615.1_ASM29661v1	Halorubrum sp. T3	2	0
GCF_002286985.1	na	2032630	Halorubrum sp. WN019	WN019	Contig	2017/09/06	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/286/985/GCF_002286985.1_ASM228698v1	Halorubrum sp. WN019	1	0
GCF_000337415.1	representative genome	1227485	Halorubrum tebenquichense DSM 14210	DSM 14210	Contig	2013/02/04	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/337/415/GCF_000337415.1_ASM33741v1	Halorubrum tebenquichense DSM 14210	1	1
GCF_000337435.1	na	1227486	Halorubrum terrestre JCM 10247	JCM 10247	Contig	2013/02/04	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/337/435/GCF_000337435.1_ASM33743v1	Halorubrum terrestre JCM 10247	1	0
GCF_002355655.1	na	29284	Halorubrum trapanicum	CBA1232	Complete Genome	2016/07/01	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/355/655/GCF_002355655.1_ASM235565v1	Halorubrum trapanicum CBA1232	4	0
GCF_001280455.1	representative genome	1765655	Halorubrum tropicale	5	Contig	2015/09/09	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/280/455/GCF_001280455.1_ASM128045v1	Halorubrum tropicale 5	1	1
GCF_900188065.1	representative genome	63740	Halorubrum vacuolatum	DSM 8800	Contig	2017/07/16	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/188/065/GCF_900188065.1_IMG-taxon_2724679803_annotated_assembly	Halorubrum vacuolatum DSM 8800	1	1
GCF_000337455.1	representative genome	797114	Halosimplex carlsbadense 2-9-1	2-9-1	Contig	2013/02/04	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/337/455/GCF_000337455.1_ASM33745v1	Halosimplex carlsbadense 2-9-1	1	1
GCF_900116205.1	representative genome	619731	Halostagnicola kamekurae	DSM 22427	Contig	2016/11/02	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/116/205/GCF_900116205.1_IMG-taxon_2639762563_annotated_assembly	Halostagnicola kamekurae DSM 22427	1	1
GCF_000517625.1	representative genome	797299	Halostagnicola larsenii XH-48	XH-48	Complete Genome	2014/01/13	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/517/625/GCF_000517625.1_ASM51762v1	Halostagnicola larsenii XH-48	4	1
GCF_000691505.1	na	1495067	Halostagnicola sp. A56	A56	Contig	2015/07/07	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/691/505/GCF_000691505.1_ASM69150v2	Halostagnicola sp. A56	1	0
GCF_001971705.1	representative genome	588898	Haloterrigena daqingensis		Complete Genome	2017/01/26	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/971/705/GCF_001971705.1_ASM197170v1	Haloterrigena daqingensis	4	1
GCF_900156445.1	na	588898	Haloterrigena daqingensis	CGMCC 1.8909	Contig	2017/01/14	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/156/445/GCF_900156445.1_IMG-taxon_2681812915_annotated_assembly	Haloterrigena daqingensis CGMCC 1.8909	1	0
GCF_900111485.1	na	392421	Haloterrigena hispanica	CDM_6	Scaffold	2016/11/17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/111/485/GCF_900111485.1_IMG-taxon_2642422550_annotated_assembly	Haloterrigena hispanica CDM_6	2	0
GCF_000710605.1	na	1455609	Haloterrigena jeotgali A29	A29	Contig	2014/06/20	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/710/605/GCF_000710605.1_HTGA29.1	Haloterrigena jeotgali A29	1	0
GCF_000337475.1	representative genome	1230457	Haloterrigena limicola JCM 13563	JCM 13563	Contig	2013/02/04	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/337/475/GCF_000337475.1_ASM33747v1	Haloterrigena limicola JCM 13563	1	1
GCF_000690595.1	na	1416969	Haloterrigena mahii	H13	Scaffold	2016/05/26	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/690/595/GCF_000690595.1_ASM69059v2	Haloterrigena mahii H13	2	0
GCF_001953745.1	representative genome	301967	Haloterrigena saccharevitans	AB14	Contig	2017/01/18	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/953/745/GCF_001953745.1_ASM195374v1	Haloterrigena saccharevitans AB14	1	1
GCF_000337495.1	na	1227488	Haloterrigena salina JCM 13891	JCM 13891	Contig	2013/02/04	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/337/495/GCF_000337495.1_ASM33749v1	Haloterrigena salina JCM 13891	1	0
GCF_000337115.1	na	1227489	Haloterrigena thermotolerans DSM 11522	DSM 11522	Contig	2013/02/04	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/337/115/GCF_000337115.1_ASM33711v1	Haloterrigena thermotolerans DSM 11522	1	0
GCF_000025325.1	representative genome	543526	Haloterrigena turkmenica DSM 5511	DSM 5511	Complete Genome	2010/01/19	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/325/GCF_000025325.1_ASM2532v1	Haloterrigena turkmenica DSM 5511	4	1
GCF_001483125.1	na	62320	Haloterrigena turkmenica	WANU15	Contig	2015/12/29	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/483/125/GCF_001483125.1_ASM148312v1	Haloterrigena turkmenica WANU15	1	0
GCF_900100385.1	representative genome	890420	Halovenus aranensis	IBRC-M10015	Scaffold	2016/10/21	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/100/385/GCF_900100385.1_IMG-taxon_2651870124_annotated_assembly	Halovenus aranensis IBRC-M10015	2	1
GCF_000337515.1	representative genome	1227490	Halovivax asiaticus JCM 14624	JCM 14624	Contig	2013/02/04	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/337/515/GCF_000337515.1_ASM33751v1	Halovivax asiaticus JCM 14624	1	1
GCF_000015145.1	representative genome	415426	Hyperthermus butylicus DSM 5456	DSM 5456	Complete Genome	2007/01/22	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/145/GCF_000015145.1_ASM1514v1	Hyperthermus butylicus DSM 5456	4	1
GCF_000017945.1	representative genome	453591	Ignicoccus hospitalis KIN4/I	KIN4/I	Complete Genome	2007/08/29	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/945/GCF_000017945.1_ASM1794v1	Ignicoccus hospitalis KIN4/I	4	1
GCF_001481685.1	representative genome	940295	Ignicoccus islandicus DSM 13165	DSM 13165	Complete Genome	2015/12/23	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/481/685/GCF_001481685.1_ASM148168v1	Ignicoccus islandicus DSM 13165	4	1
GCF_000204925.1	representative genome	1006006	Metallosphaera cuprina Ar-4	Ar-4	Complete Genome	2011/04/19	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/204/925/GCF_000204925.1_ASM20492v1	Metallosphaera cuprina Ar-4	4	1
GCF_001266695.1	na	43687	Metallosphaera sedula	ARS120-1	Complete Genome	2015/08/12	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/266/695/GCF_001266695.1_ASM126669v1	Metallosphaera sedula ARS120-1	4	0
GCF_001266715.1	na	43687	Metallosphaera sedula	ARS120-2	Complete Genome	2015/08/12	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/266/715/GCF_001266715.1_ASM126671v1	Metallosphaera sedula ARS120-2	4	0
GCF_001266655.1	na	43687	Metallosphaera sedula	ARS50-1	Complete Genome	2015/08/12	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/266/655/GCF_001266655.1_ASM126665v1	Metallosphaera sedula ARS50-1	4	0
GCF_001266675.1	na	43687	Metallosphaera sedula	ARS50-2	Complete Genome	2015/08/12	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/266/675/GCF_001266675.1_ASM126667v1	Metallosphaera sedula ARS50-2	4	0
GCF_000747605.1	na	43687	Metallosphaera sedula	CuR1	Chromosome	2014/09/04	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/747/605/GCF_000747605.1_ASM74760v1	Metallosphaera sedula CuR1	3	0
GCF_000016605.1	representative genome	399549	Metallosphaera sedula DSM 5348	DSM 5348	Complete Genome	2007/04/25	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/605/GCF_000016605.1_ASM1660v1	Metallosphaera sedula DSM 5348	4	1
GCF_001266735.1	na	43687	Metallosphaera sedula	SARC-M1	Complete Genome	2015/08/12	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/266/735/GCF_001266735.1_ASM126673v1	Metallosphaera sedula SARC-M1	4	0
GCF_000243315.1	representative genome	671065	Metallosphaera yellowstonensis MK1	MK1	Scaffold	2012/01/23	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/243/315/GCF_000243315.1_ASM24331v1	Metallosphaera yellowstonensis MK1	2	1
GCF_000746075.1	na	386456	Methanobacterium arcticum	M2	Scaffold	2014/08/28	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/746/075/GCF_000746075.1_ASM74607v1	Methanobacterium arcticum M2	2	0
GCF_002287175.1	na	2161	Methanobacterium bryantii	M.o.H.	Contig	2017/09/06	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/287/175/GCF_002287175.1_ASM228717v1	Methanobacterium bryantii M.o.H.	1	0
GCF_900095295.1	representative genome	118062	Methanobacterium congolense		Complete Genome	2016/09/08	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/095/295/GCF_900095295.1_MCBB	Methanobacterium congolense	4	1
GCF_001458655.1	na	2162	Methanobacterium formicicum		Complete Genome	2015/11/16	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/458/655/GCF_001458655.1_Mb9	Methanobacterium formicicum	4	0
GCF_000762265.1	representative genome	2162	Methanobacterium formicicum	BRM9	Complete Genome	2014/10/02	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/762/265/GCF_000762265.1_ASM76226v1	Methanobacterium formicicum BRM9	4	1
GCF_000302455.1	representative genome	1204725	Methanobacterium formicicum DSM 3637	DSM 3637	Contig	2012/10/02	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/302/455/GCF_000302455.1_ASM30245v1	Methanobacterium formicicum DSM 3637	1	1
GCF_000191585.1	representative genome	877455	Methanobacterium lacus	AL-21	Complete Genome	2011/03/07	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/191/585/GCF_000191585.1_ASM19158v1	Methanobacterium lacus AL-21	4	1
GCF_000214725.1	representative genome	868131	Methanobacterium paludis	SWAN1	Complete Genome	2011/05/24	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/214/725/GCF_000214725.1_ASM21472v1	Methanobacterium paludis SWAN1	4	1
GCF_001729285.1	na	1860100	Methanobacterium sp. A39	A39	Contig	2016/09/16	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/729/285/GCF_001729285.1_ASM172928v1	Methanobacterium sp. A39	1	0
GCF_000499765.1	na	1379702	Methanobacterium sp. MB1		Complete Genome	2013/11/14	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/499/765/GCF_000499765.1_Methanobacterium	Methanobacterium sp. MB1	4	0
GCF_002813655.1	na	913102	Methanobacterium sp. MO-MB1	MO-MB1	Complete Genome	2017/12/07	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/813/655/GCF_002813655.1_ASM281365v1	Methanobacterium sp. MO-MB1	4	0
GCF_002813675.1	na	1911685	Methanobacterium sp. MZ-A1	MZ-A1	Complete Genome	2017/12/07	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/813/675/GCF_002813675.1_ASM281367v1	Methanobacterium sp. MZ-A1	4	0
GCF_000744455.1	na	1495336	Methanobacterium sp. SMA-27	SMA-27	Contig	2014/08/28	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/744/455/GCF_000744455.1_ASM74445v1	Methanobacterium sp. SMA-27	1	0
GCF_002813695.1	na	59277	Methanobacterium subterraneum	A8p	Complete Genome	2017/12/07	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/813/695/GCF_002813695.1_ASM281369v1	Methanobacterium subterraneum A8p	4	0
GCF_000745485.1	representative genome	408577	Methanobacterium veterum	MK4	Scaffold	2014/08/28	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/745/485/GCF_000745485.1_ASM74548v1	Methanobacterium veterum MK4	2	1
GCF_000513315.1	representative genome	1401244	Methanobrevibacter arboriphilus ANOR1	ANOR1	Scaffold	2013/12/19	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/513/315/GCF_000513315.1_ANOR1	Methanobrevibacter arboriphilus ANOR1	2	1
GCF_002072215.1	na	1300164	Methanobrevibacter arboriphilus JCM 13429 = DSM 1125	DH1	Contig	2017/03/24	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/072/215/GCF_002072215.1_ASM207221v1	Methanobrevibacter arboriphilus JCM 13429 = DSM 1125 DH1	1	0
GCF_001315885.1	na	1293039	Methanobrevibacter arboriphilus JCM 9315	JCM 9315	Contig	2015/10/01	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/315/885/GCF_001315885.1_ASM131588v1	Methanobrevibacter arboriphilus JCM 9315	1	0
GCF_000320505.1	representative genome	1214066	Methanobrevibacter boviskoreani JH1	JH1	Contig	2012/10/03	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/320/505/GCF_000320505.1_ASM32050v2	Methanobrevibacter boviskoreani JH1	1	1
GCF_001639295.1	representative genome	49547	Methanobrevibacter curvatus	DSM 11111	Contig	2016/04/29	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/639/295/GCF_001639295.1_ASM163929v1	Methanobrevibacter curvatus DSM 11111	1	1
GCF_001639285.1	representative genome	47311	Methanobrevibacter cuticularis	DSM 11139	Contig	2016/04/29	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/639/285/GCF_001639285.1_ASM163928v1	Methanobrevibacter cuticularis DSM 11139	1	1
GCF_001639265.1	representative genome	55758	Methanobrevibacter filiformis	DSM 11501	Contig	2016/04/29	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/639/265/GCF_001639265.1_ASM163926v1	Methanobrevibacter filiformis DSM 11501	1	1
GCF_900109595.1	representative genome	190974	Methanobrevibacter gottschalkii	DSM 11978	Contig	2016/10/31	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/109/595/GCF_900109595.1_IMG-taxon_2654588138_annotated_assembly	Methanobrevibacter gottschalkii DSM 11978	1	1
GCF_001477655.1	representative genome	230361	Methanobrevibacter millerae	SM9	Complete Genome	2015/12/22	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/477/655/GCF_001477655.1_ASM147765v1	Methanobrevibacter millerae SM9	4	1
GCF_900114585.1	na	294671	Methanobrevibacter olleyae	DSM 16632	Scaffold	2016/11/02	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/114/585/GCF_900114585.1_IMG-taxon_2593339150_annotated_assembly	Methanobrevibacter olleyae DSM 16632	2	0
GCF_001563245.1	representative genome	294671	Methanobrevibacter olleyae	YLM1	Complete Genome	2016/02/18	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/563/245/GCF_001563245.1_ASM156324v1	Methanobrevibacter olleyae YLM1	4	1
GCF_001639275.1	representative genome	66851	Methanobrevibacter oralis	DSM 7256	Contig	2016/04/29	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/639/275/GCF_001639275.1_ASM163927v1	Methanobrevibacter oralis DSM 7256	1	1
GCF_000529525.1	na	1415626	Methanobrevibacter oralis JMR01	JMR01	Scaffold	2014/01/15	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/529/525/GCF_000529525.1_Methanobrevibacter_oralis_JMR01	Methanobrevibacter oralis JMR01	2	0
GCF_000024185.1	representative genome	634498	Methanobrevibacter ruminantium M1	M1	Complete Genome	2010/02/05	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/185/GCF_000024185.1_ASM2418v1	Methanobrevibacter ruminantium M1	4	1
GCF_000824705.1	na	2173	Methanobrevibacter smithii	ACE6	Contig	2014/10/02	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/824/705/GCF_000824705.1_Methanobrevibacter_smithii	Methanobrevibacter smithii ACE6	1	0
GCF_000016525.1	representative genome	420247	Methanobrevibacter smithii ATCC 35061	ATCC 35061; PS; DSMZ 861	Complete Genome	2007/06/04	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/525/GCF_000016525.1_ASM1652v1	Methanobrevibacter smithii ATCC 35061 ATCC 35061; PS; DSMZ 861	4	1
GCF_000151225.1	na	521002	Methanobrevibacter smithii DSM 2374	DSM 2374	Scaffold	2009/10/06	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/151/225/GCF_000151225.1_ASM15122v1	Methanobrevibacter smithii DSM 2374	2	0
GCF_000151245.1	na	483214	Methanobrevibacter smithii DSM 2375	DSM 2375	Scaffold	2008/11/13	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/151/245/GCF_000151245.1_ASM15124v1	Methanobrevibacter smithii DSM 2375	2	0
GCF_002813085.1	na	2173	Methanobrevibacter smithii	KB11	Complete Genome	2017/12/06	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/813/085/GCF_002813085.1_ASM281308v1	Methanobrevibacter smithii KB11	4	0
GCF_000189795.1	na	911116	Methanobrevibacter smithii TS145A	TS145A	Contig	2011/02/17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/189/795/GCF_000189795.1_ASM18979v2	Methanobrevibacter smithii TS145A	1	0
GCF_000189815.1	na	911117	Methanobrevibacter smithii TS145B	TS145B	Contig	2011/02/17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/189/815/GCF_000189815.1_ASM18981v2	Methanobrevibacter smithii TS145B	1	0
GCF_000189835.1	na	911118	Methanobrevibacter smithii TS146A	TS146A	Contig	2011/02/17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/189/835/GCF_000189835.1_ASM18983v2	Methanobrevibacter smithii TS146A	1	0
GCF_000189855.1	na	911119	Methanobrevibacter smithii TS146B	TS146B	Contig	2011/02/17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/189/855/GCF_000189855.1_ASM18985v2	Methanobrevibacter smithii TS146B	1	0
GCF_000189895.1	na	911121	Methanobrevibacter smithii TS146D	TS146D	Contig	2011/02/17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/189/895/GCF_000189895.1_ASM18989v2	Methanobrevibacter smithii TS146D	1	0
GCF_000189915.1	na	911122	Methanobrevibacter smithii TS146E	TS146E	Contig	2011/02/17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/189/915/GCF_000189915.1_ASM18991v2	Methanobrevibacter smithii TS146E	1	0
GCF_000189935.1	na	911123	Methanobrevibacter smithii TS147A	TS147A	Contig	2011/02/17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/189/935/GCF_000189935.1_ASM18993v2	Methanobrevibacter smithii TS147A	1	0
GCF_000189955.1	na	911124	Methanobrevibacter smithii TS147B	TS147B	Contig	2011/02/17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/189/955/GCF_000189955.1_ASM18995v2	Methanobrevibacter smithii TS147B	1	0
GCF_000189975.1	na	911125	Methanobrevibacter smithii TS147C	TS147C	Contig	2011/02/17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/189/975/GCF_000189975.1_ASM18997v2	Methanobrevibacter smithii TS147C	1	0
GCF_000189995.1	na	911126	Methanobrevibacter smithii TS94A	TS94A	Contig	2011/02/17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/189/995/GCF_000189995.1_ASM18999v2	Methanobrevibacter smithii TS94A	1	0
GCF_000190015.1	na	911127	Methanobrevibacter smithii TS94B	TS94B	Contig	2011/02/17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/190/015/GCF_000190015.1_ASM19001v2	Methanobrevibacter smithii TS94B	1	0
GCF_000190035.1	na	911128	Methanobrevibacter smithii TS94C	TS94C	Contig	2011/02/17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/190/035/GCF_000190035.1_ASM19003v2	Methanobrevibacter smithii TS94C	1	0
GCF_000190055.1	na	911129	Methanobrevibacter smithii TS95A	TS95A	Contig	2011/02/17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/190/055/GCF_000190055.1_ASM19005v2	Methanobrevibacter smithii TS95A	1	0
GCF_000190075.1	na	911130	Methanobrevibacter smithii TS95B	TS95B	Contig	2011/02/17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/190/075/GCF_000190075.1_ASM19007v2	Methanobrevibacter smithii TS95B	1	0
GCF_000190095.1	na	911131	Methanobrevibacter smithii TS95C	TS95C	Contig	2011/02/17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/190/095/GCF_000190095.1_ASM19009v2	Methanobrevibacter smithii TS95C	1	0
GCF_000190115.1	na	911132	Methanobrevibacter smithii TS95D	TS95D	Contig	2011/02/17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/190/115/GCF_000190115.1_ASM19011v2	Methanobrevibacter smithii TS95D	1	0
GCF_000190135.1	na	911133	Methanobrevibacter smithii TS96A	TS96A	Contig	2011/02/17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/190/135/GCF_000190135.1_ASM19013v2	Methanobrevibacter smithii TS96A	1	0
GCF_000190155.1	na	911134	Methanobrevibacter smithii TS96B	TS96B	Contig	2011/02/17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/190/155/GCF_000190155.1_ASM19015v2	Methanobrevibacter smithii TS96B	1	0
GCF_000190175.1	na	911135	Methanobrevibacter smithii TS96C	TS96C	Contig	2011/02/17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/190/175/GCF_000190175.1_ASM19017v2	Methanobrevibacter smithii TS96C	1	0
GCF_002252585.1	na	2173	Methanobrevibacter smithii	WWM1085	Contig	2017/08/15	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/252/585/GCF_002252585.1_ASM225258v1	Methanobrevibacter smithii WWM1085	1	0
GCF_002208625.1	na	387957	Methanobrevibacter sp. 87.7	87.7	Contig	2017/06/26	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/208/625/GCF_002208625.1_ASM220862v1	Methanobrevibacter sp. 87.7	1	0
GCF_001729385.1	na	1860099	Methanobrevibacter sp. A27	A27	Contig	2016/09/16	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/729/385/GCF_001729385.1_ASM172938v1	Methanobrevibacter sp. A27	1	0
GCF_001729455.1	na	1860156	Methanobrevibacter sp. A54	A54	Contig	2016/09/16	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/729/455/GCF_001729455.1_ASM172945v1	Methanobrevibacter sp. A54	1	0
GCF_000404165.1	na	224719	Methanobrevibacter sp. AbM4	AbM4	Complete Genome	2013/06/03	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/404/165/GCF_000404165.1_ASM40416v1	Methanobrevibacter sp. AbM4	4	0
GCF_001548675.1	na	1609968	Methanobrevibacter sp. YE315	YE315	Complete Genome	2016/02/04	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/548/675/GCF_001548675.1_ASM154867v1	Methanobrevibacter sp. YE315	4	0
GCF_000621965.1	representative genome	1410664	Methanobrevibacter wolinii SH	SH	Scaffold	2014/04/08	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/621/965/GCF_000621965.1_ASM62196v1	Methanobrevibacter wolinii SH	2	1
GCF_000739065.1	representative genome	1301915	Methanocaldococcus bathoardescens	JH146	Complete Genome	2014/08/12	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/739/065/GCF_000739065.1_ASM73906v1	Methanocaldococcus bathoardescens JH146	4	1
GCF_000023985.1	representative genome	573064	Methanocaldococcus fervens AG86	AG86	Complete Genome	2009/08/28	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/985/GCF_000023985.1_ASM2398v1	Methanocaldococcus fervens AG86	4	1
GCF_000092305.1	representative genome	573063	Methanocaldococcus infernus ME	ME	Complete Genome	2010/04/30	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/305/GCF_000092305.1_ASM9230v1	Methanocaldococcus infernus ME	4	1
GCF_000091665.1	representative genome	243232	Methanocaldococcus jannaschii DSM 2661	DSM 2661	Complete Genome	1999/12/22	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/091/665/GCF_000091665.1_ASM9166v1	Methanocaldococcus jannaschii DSM 2661	4	1
GCF_000025525.1	na	644281	Methanocaldococcus sp. FS406-22	FS406-22	Complete Genome	2010/02/17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/525/GCF_000025525.1_ASM2552v1	Methanocaldococcus sp. FS406-22	4	0
GCF_000371805.1	representative genome	1069083	Methanocaldococcus villosus KIN24-T80	KIN24-T80	Contig	2013/04/19	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/371/805/GCF_000371805.1_ASM37180v1	Methanocaldococcus villosus KIN24-T80	1	1
